# 专名误识速查（按主题分组）
#
# ⚠️ 使用范围与局限（2026-09-16 实测，务必先读）
#
# 本表**只在同一主题/地区的视频上有效**，跨主题基本失效。
# 实测：拿它扫一份全新的「广东惠州」视频素材包（同 UP 主同系列），
#   命中 3 处、精度 0/3 ——
#     「板」×2 是「电路板/线路板」的本义 → 误报
#     「旺达」×1 确实指向一处真错写，但正确写法是「欣旺达」（深圳动力电池公司），
#              不是本表里的「卢旺达」
# 原因有二：
#   ① 表内多数条目是「特定视频的专名」（寮步/麻涌/清溪/钱排…），换个视频就不再出现；
#   ② 少数「常用词」条目（板/清晰/辅助/APP/电影/平原）在任何视频里都会正常出现，
#      扫描必然误报 —— 这正是它们不能进 asr_glossary.txt 的原因，也同样限制了本表。
#
# 所以它的正确用法是「参考」，不是「扫描」：
#   · 做某地区视频时，翻到对应分组逐条核对（如再做东莞/江门视频时查「广东」组）；
#   · 不要指望它覆盖新主题。
#
# 更有效的校对方式（实测有效）是「按类型核查 + 外部常识」：
#   把素材包里的**企业/品牌名**、**地名**、**历史地名**逐类过一遍。
#   同一份惠州素材包里，真错写是这样发现的：
#     新旺达 → 欣旺达（动力电池公司，深圳）
#     重卡一带 → 仲恺一带（惠州仲恺高新区，TCL/德赛电池所在地）
#     阜城 / 抚沟 → 府城（惠州府城）
#   这些都不是词表能给的，靠的是「知道这一带有什么企业和地名」。
#   本表能起的作用是**提示注意哪类词**，不是提供答案。
#
# 用途：生成/校对纪要时按内容主题查一遍，核对这些词是否被写错。
#
# 与 asr_glossary.txt 的分工（重要，别混用）：
#   asr_glossary.txt —— 强制纠错清单：收「几乎不会在别的语境出现」的错写
#                       （如「尧舜禹 → 姚顺雨」），可被 check_glossary.py --fix 自动替换。
#   本文件           —— 人工校对提示：收「错写本身是常用中文词」的条目，
#                       它们在正常语境下也是本义，**绝不可自动替换**，
#                       只能由人按语境判断。
#
# 收录原则：错写「看起来像正常中文」→ AI 读到不起疑 → 最易漏改。
#           实测依据：非音系类错误的人工漏改率 29.2%，
#           是音系类（同音 13.3%）的两倍多。
#
# 排除原则：高频泛义词一律不收（重新 / 至于 / 合理 / 不义 / 分离 / 老了 /
#           小包 / 干）—— 它们在任何语境下都可能用本义，收了必误报。
#
# 格式：错写 | 正确写法 | 语境限定与误伤提示
#       第三列写明「什么时候该改」与「什么时候是本义」，判断不了就别改。


# ---- 广东 · 珠三角与粤东粤西 ----
辽布 | 寮步 | 东莞镇名。非专名语境罕见
张木头 | 樟木头 | 东莞镇名。讲"木头"时注意
谢港 | 谢岗 | 东莞镇名
起石 | 企石 | 东莞镇名。讲"起石头"时是本义
马重 | 麻涌 | 东莞镇名。讲"重量/重要"时是本义
唐夏 | 塘厦 | 东莞镇名。讲人名或朝代时是本义
清晰 | 清溪 | 东莞镇名。**最高危**——讲"画面清晰/条理清晰"时是本义，务必按语境判断
平原 | 平远 | 梅州辖县。讲地形"平原"时是本义
大布 | 大埔 | 梅州辖县。讲布料时是本义
交领 | 蕉岭 | 梅州辖县。讲汉服"交领"时是本义
干州 | 赣州 | 江西地级市
华州 | 化州 | 茂名辖市。讲陕西华州区时是本义
前排 | 钱排 | 茂名信宜镇名。讲"前排座位"时是本义
连广 | 廉江 | 湛江辖市
徐文 | 徐闻 | 湛江辖县。作人名时是本义
洋城 | 羊城 | 广州别称
五一 | 五邑 | 江门地区统称（新会/台山/开平/恩平/鹤山）。讲劳动节时是本义
五亿 | 五邑 | 同上。讲金额时是本义
武艺 | 五邑 | 同上。讲"武艺高强"时是本义
四亿 | 四邑 | 江门历史统称（新会+台山+开平+恩平）。讲金额时是本义
开屏 | 开平 | 江门碉楼所在地。讲"开屏广告/孔雀开屏"时是本义
慧博 | 慧泊 | 南宁停车运营公司（"慧泊"为专名）
无需机场 | 吴圩机场 | 南宁机场名
象城 | 邕城 | 南宁别称（南宁简称"邕"）

# ---- 海南 ----
山亚 | 三亚 | 海南地级市
白茶 | 白沙 | 海南黎族自治县。**高危**——讲茶叶"白茶"时是本义
苍江 | 昌江 | 海南辖县。讲河流时注意
宝廷 | 保亭 | 海南黎族苗族自治县
宝庭 | 保亭 | 同上，变体
热冬 | 乐东 | 海南辖县
热洞 | 乐东 | 同上，变体
丹州 | 儋州 | 海南地级市（苏轼"黄州惠州儋州"）
林高 | 临高 | 海南辖县。作人名时是本义
羊谱 | 洋浦 | 海南开发区
巴索 | 八所 | 东方市城区旧称
导游服 | 岛服 | 海南特色服装。讲"导游制服"时注意

# ---- 制度 · 政务 · 考试（此处多为「一词之差、意义全变」）----
权利运行 | 权力运行 | 政治语境。权力=power / 权利=right，**高频混淆，写错会让"权力"检索失效**
权利结构 | 权力结构 | 同上
公监法 | 公检法 | 政法语境
体质原因 | 体制原因 | 制度语境。讲医学"体质"时是本义
科学制度 | 科举制度 | 古代选官语境。讲近现代科学建制时是本义
改革一体 | 改革议题 | 政务语境
全线交易 | 权钱交易 | 反腐语境
